track_id,first_frame,last_frame,first_time_s,last_time_s,detections,conf_mean,conf_max,area_mean,rep_frame,rep_time_s,rep_conf,rep_x1,rep_y1,rep_x2,rep_y2
1,0,37,0.0,1.2335512367491166,38,0.6542264623077292,0.7737206220626831,71680.73684210527,4,0.13335689045936397,0.7737206220626831,250,595,462,946
2,0,23,0.0,0.7668021201413427,24,0.6649413108825684,0.8746218085289001,339146.625,17,0.5667667844522968,0.8746218085289001,630,561,1063,1483
3,0,57,0.0,1.9003356890459364,55,0.5361038674007762,0.7601408958435059,107319.29090909091,38,1.2668904593639576,0.7601408958435059,695,647,943,1216
4,0,31,0.0,1.0335159010600707,25,0.3897971796989441,0.5848246812820435,85437.08,26,0.8668197879858657,0.5848246812820435,784,646,1079,1181
17,24,77,0.8001413427561838,2.5671201413427562,52,0.5095107165666727,0.783393144607544,110334.96153846153,71,2.36708480565371,0.783393144607544,855,666,1079,1141
22,26,27,0.8668197879858657,0.9001590106007067,2,0.5308550149202347,0.5710662007331848,40741.0,27,0.9001590106007067,0.5710662007331848,968,946,1079,1240
25,28,93,0.9334982332155477,3.100547703180212,60,0.4328932285308838,0.7011162638664246,60256.55,30,1.0001766784452297,0.7011162638664246,43,514,161,922
51,35,60,1.1668727915194346,2.0003533568904595,19,0.4270547895055068,0.6311203241348267,69660.63157894737,37,1.2335512367491166,0.6311203241348267,23,547,174,935
68,39,117,1.3002296819787986,3.900689045936396,77,0.5257418027945927,0.664932906627655,47191.155844155845,84,2.800494699646643,0.664932906627655,530,718,664,1047
73,40,87,1.3335689045936396,2.900512367491166,47,0.47567714909289743,0.8037258982658386,64866.72340425532,84,2.800494699646643,0.8037258982658386,905,745,1079,1099
76,41,60,1.3669081272084806,2.0003533568904595,15,0.37463618914286295,0.5856478810310364,46753.933333333334,47,1.5669434628975265,0.5856478810310364,731,680,863,1077
80,42,129,1.4002473498233214,4.300759717314488,87,0.480822778638752,0.669638454914093,43777.73563218391,103,3.4339399293286217,0.669638454914093,716,698,858,1024
87,45,106,1.5002650176678445,3.5339575971731447,61,0.44227278330286995,0.7171064019203186,56638.360655737706,102,3.4006007067137807,0.7171064019203186,931,690,1079,1065
93,48,59,1.6002826855123675,1.9670141342756184,3,0.36629395683606464,0.4481227993965149,48009.666666666664,48,1.6002826855123675,0.4481227993965149,942,772,1079,1121
99,55,58,1.8336572438162544,1.9336749116607774,4,0.42397352308034897,0.483089417219162,17152.5,57,1.9003356890459364,0.483089417219162,4,709,70,999
107,61,80,2.0336925795053005,2.6671378091872793,5,0.3655780553817749,0.5182443261146545,36724.6,78,2.6004593639575972,0.5182443261146545,977,737,1079,1168
110,63,140,2.1003710247349825,4.667491166077738,71,0.36695473252887456,0.5426709055900574,60293.77464788732,100,3.333922261484099,0.5426709055900574,505,734,646,1045
114,68,71,2.267067137809187,2.36708480565371,3,0.3731655478477478,0.4980545938014984,46092.666666666664,68,2.267067137809187,0.4980545938014984,1,576,140,980
119,73,126,2.433763250883392,4.200742049469965,51,0.3879448116994372,0.578768789768219,58215.901960784315,86,2.867173144876325,0.578768789768219,223,681,392,1038
126,77,134,2.5671201413427562,4.467455830388692,31,0.4407591714013007,0.65708327293396,62135.58064516129,84,2.800494699646643,0.65708327293396,46,656,189,991
129,85,191,2.833833922261484,6.367791519434629,89,0.7347393253546083,0.9017865657806396,285242.5056179775,118,3.934028268551237,0.9017865657806396,37,643,651,1231
133,87,111,2.900512367491166,3.70065371024735,10,0.348050194978714,0.4397291839122772,57147.2,99,3.300583038869258,0.4397291839122772,327,585,495,977
157,102,114,3.4006007067137807,3.800671378091873,3,0.37153805295626324,0.4089699387550354,78332.66666666667,102,3.4006007067137807,0.4089699387550354,266,646,480,971
159,103,217,3.4339399293286217,7.2346113074204945,104,0.41210929361673504,0.6153820157051086,114666.08653846153,203,6.767862190812721,0.6153820157051086,741,580,1003,1022
184,127,144,4.234081272084806,4.800848056537102,7,0.3288125821522304,0.42927953600883484,99939.57142857143,141,4.700830388692579,0.42927953600883484,589,583,873,911
187,132,198,4.40077738515901,6.601166077738516,44,0.48228220302950253,0.8054496049880981,86113.09090909091,186,6.201095406360424,0.8054496049880981,814,666,1079,1054
193,136,224,4.534134275618374,7.467985865724382,50,0.37443210124969484,0.5564443469047546,104428.98,151,5.034222614840989,0.5564443469047546,23,618,290,910
195,137,165,4.567473498233215,5.500971731448764,23,0.48225625701572583,0.7956414818763733,274044.1304347826,164,5.467632508833923,0.7956414818763733,281,825,1079,1408
202,140,158,4.667491166077738,5.2675971731448765,19,0.5280165844842007,0.779096782207489,1041433.1578947369,143,4.767508833922261,0.779096782207489,5,758,1017,1912
205,142,150,4.73416961130742,5.000883392226148,4,0.3172876611351967,0.36855512857437134,160588.5,142,4.73416961130742,0.36855512857437134,660,677,1070,1092
206,154,208,5.1342402826855125,6.934558303886925,44,0.44225851039994846,0.6662485003471375,93871.84090909091,206,6.867879858657243,0.6662485003471375,909,664,1079,1063
212,162,191,5.400954063604241,6.367791519434629,10,0.3656516015529633,0.57054603099823,98954.1,190,6.334452296819788,0.57054603099823,907,761,1079,1070
217,166,235,5.534310954063605,7.834717314487633,69,0.7292226816433064,0.9160585999488831,189005.59420289856,210,7.001236749116607,0.9160585999488831,263,638,721,1269
236,188,204,6.267773851590106,6.801201413427561,8,0.35492871329188347,0.4236355423927307,68942.75,196,6.534487632508834,0.4236355423927307,543,658,771,958
238,188,239,6.267773851590106,7.968074204946997,42,0.6388886052937734,0.8408746123313904,854134.5476190476,227,7.568003533568905,0.8408746123313904,3,800,1079,1912
251,222,247,7.4013074204947,8.234787985865724,21,0.5581531127293905,0.8426193594932556,90725.42857142857,244,8.134770318021202,0.8426193594932556,838,553,1079,918
253,236,267,7.868056537102474,8.901572438162544,32,0.7711084904149175,0.8682430386543274,323599.40625,242,8.06809187279152,0.8682430386543274,92,545,350,1483
254,239,246,7.968074204946997,8.201448763250884,8,0.6865357719361782,0.8656992316246033,54923.875,241,8.034752650176678,0.8656992316246033,886,835,1058,1122
256,243,244,8.10143109540636,8.134770318021202,2,0.5535597801208496,0.5862583518028259,214089.0,243,8.10143109540636,0.5862583518028259,476,1546,1078,1919
262,270,270,9.001590106007066,9.001590106007066,1,0.4992159307003021,0.4992159307003021,39204.0,270,9.001590106007066,0.4992159307003021,958,837,1079,1161
